Lat.,Lon.,Layer,Time,WA_U,WA_D,WA_R,RUD
35.331982,139.644505,1,0,17.8,8.77,35.87,0.18
35.331982,139.649009,1,0,17.94,9.72,36.64,0.18
35.331982,139.653514,1,0,18.68,10.8,37.76,0.18
35.331982,139.658018,1,0,18.68,11.13,38.12,0.18
35.331982,139.662523,1,0,18.62,11.29,38.32,0.18
35.331982,139.667027,1,0,18.32,11.37,38.36,0.18
35.331982,139.671532,1,0,17.99,11.4,38.35,0.17
35.331982,139.676036,1,0,17.66,11.35,38.23,0.17
35.331982,139.680541,1,0,17.43,11.29,38.07,0.17
35.331982,139.685045,1,0,17.23,11.2,37.84,0.16
35.331982,139.68955,1,0,17.04,11.14,37.58,0.16
35.331982,139.694054,1,0,16.92,11.11,37.28,0.16
35.331982,139.698559,1,0,16.76,11.09,36.96,0.16
35.331982,139.703063,1,0,16.57,11.2,36.64,0.16
35.331982,139.707568,1,0,16.43,11.34,36.28,0.15
35.331982,139.712072,1,0,16.28,11.44,35.87,0.15
35.331982,139.716577,1,0,16.11,11.61,35.49,0.15
35.331982,139.721081,1,0,15.93,11.91,35.11,0.14
35.331982,139.725586,1,0,15.77,12.14,34.67,0.14
35.331982,139.73009,1,0,15.6,12.41,34.25,0.13
35.331982,139.734595,1,0,15.48,12.71,33.86,0.13
35.331982,139.739099,1,0,15.38,12.98,33.43,0.12
35.331982,139.743604,1,0,15.31,13.12,32.97,0.12
35.331982,139.748108,1,0,15.24,13.2,32.46,0.12
35.331982,139.752613,1,0,15.2,13.13,31.85,0.11
35.331982,139.757117,1,0,15.18,12.95,31.14,0.11
35.331982,139.761622,1,0,15.16,12.57,30.31,0.12
35.331982,139.766126,1,0,15.14,11.98,29.35,0.12
35.331982,139.770631,1,0,15.11,11.18,28.35,0.13
35.331982,139.775135,1,0,15.07,10.27,27.32,0.14
35.331982,139.77964,1,0,15.01,9.56,26.62,0.14
35.331982,139.784144,1,0,14.92,9.34,26.39,0.14
35.331982,139.788649,1,0,14.76,9.12,26.23,0.14
35.331982,139.793153,1,0,14.61,9.72,26.74,0.13
35.331982,139.797658,1,0,14.48,10.19,27.18,0.12
35.331982,139.802162,1,0,14.25,10.68,27.61,0.11
35.331982,139.806667,1,0,13.79,10.9,27.83,0.1
35.331982,139.811171,1,0,13.23,10.36,27.52,0.09
35.331982,139.815676,1,0,12.68,9.47,26.89,0.09
35.331982,139.82018,1,0,11.97,8.11,25.9,0.1
35.331982,139.824685,1,0,10.82,5.76,24.21,0.1
35.331982,139.829189,1,0,9.52,3.39,22.51,0.11
35.331982,139.833694,1,0,8.28,0.34,20.17,0.12
35.336486,139.635495,1,0,20.41,9.07,36.76,0.2
35.336486,139.64,1,0,18.51,8.72,35.97,0.18
35.336486,139.649009,1,0,18.45,10.47,37.43,0.18
35.336486,139.653514,1,0,18.39,10.98,37.93,0.18
35.336486,139.658018,1,0,18.31,11.29,38.26,0.18
35.336486,139.662523,1,0,18.18,11.41,38.39,0.17
35.336486,139.667027,1,0,18.03,11.48,38.45,0.17
35.336486,139.671532,1,0,17.72,11.53,38.43,0.17
35.336486,139.676036,1,0,17.47,11.54,38.34,0.17
35.336486,139.680541,1,0,17.22,11.54,38.2,0.16
35.336486,139.685045,1,0,17.01,11.5,37.98,0.16
35.336486,139.68955,1,0,16.88,11.47,37.75,0.16
35.336486,139.694054,1,0,16.69,11.51,37.48,0.16
35.336486,139.698559,1,0,16.51,11.54,37.17,0.15
35.336486,139.703063,1,0,16.37,11.65,36.87,0.15
35.336486,139.707568,1,0,16.19,11.84,36.55,0.15
35.336486,139.712072,1,0,16.03,11.97,36.18,0.14
35.336486,139.716577,1,0,15.85,12.16,35.81,0.14
35.336486,139.721081,1,0,15.64,12.49,35.47,0.13
35.336486,139.725586,1,0,15.47,12.75,35.06,0.13
35.336486,139.73009,1,0,15.27,13.09,34.7,0.12
35.336486,139.734595,1,0,15.11,13.4,34.32,0.12
35.336486,139.739099,1,0,14.99,13.69,33.94,0.11
35.336486,139.743604,1,0,14.88,13.87,33.48,0.11
35.336486,139.748108,1,0,14.79,13.98,33.0,0.1
35.336486,139.752613,1,0,14.67,13.97,32.41,0.1
35.336486,139.757117,1,0,14.59,13.94,31.79,0.09
35.336486,139.761622,1,0,14.49,13.75,31.04,0.09
35.336486,139.766126,1,0,14.4,13.31,30.19,0.09
35.336486,139.770631,1,0,14.32,12.59,29.2,0.1
35.336486,139.775135,1,0,14.22,11.73,28.26,0.1
35.336486,139.77964,1,0,14.11,10.66,27.26,0.11
35.336486,139.784144,1,0,13.98,10.07,26.79,0.12
35.336486,139.788649,1,0,13.83,9.69,26.53,0.12
35.336486,139.793153,1,0,13.71,9.82,26.76,0.11
35.336486,139.797658,1,0,13.53,10.03,27.01,0.11
35.336486,139.802162,1,0,13.34,10.3,27.3,0.1
